"STUDY_ID","REVIEWERS","INCLUDE","Study_ID","AUTHORS","TITLE","JOURNAL","VOLUME","INITIAL_PAGE","END_PAGE","DOI","PUBLICATION_YEAR","ABSTRACT","INCLUSION","WHY1","INCLUSION2","Pdf_available","Type","Notes...16","INCLUSION3","WHY3","Notes...19","Country","Title"
168,"Amara","not vetted",132,"Gabel, A. C.; Gabel, M. L.","Comparison of diversity of macrofungi and vascular plants at seven sites in the Black Hills of South Dakota","AMERICAN MIDLAND NATURALIST",157,"258","296","10.1674/0003-0031(2007)157[258:CODOMA]2.0.CO;2",2007,"Two hundred and thirty-seven species of macrofungi and 465 species of vascular plants were identified from seven selected permanent sites. Areas of permanent sites ranged from 0.5 to 10.8 ha. No fungal species were collected from all sites and 126 (53%) were collected from only one site. Fourteen fungal species (6%) were collected each year of the study and 116 (49%) were collected only 1 y. Numbers of newly collected fungal species from the seven sites did not decrease each year of the study. Classifying fungal genera by nutritional group showed 36% of the genera collected were terricolous, 53% lignicolous, 16% ectomycorrhizal and 5% parasites. Nine plant species were collected from all sites, while 232 (50%) were collected at only one site. Fifteen plant species on the sites are on the state list of rare, threatened and endangered species. Botany Bay, a narrow moist canyon with dense vegetation dominated by Picea glauca, Ostiya virginiana, Betula papyrifera and Pinus ponderosa, had the highest fungal and plant species diversity/ha of 188 and 238, respectively. Alabaugh Canyon, a dry open woodland dominated by Pinus ponderosa and juniperus virginiana, had the lowest fungal and plant species diversity/ha of 3.1 and 14.7, respectively. Species diversity of all plants and all fungi at the sites had a very significant correlation (r = 0.9). Regression and ANOVA showed a very significant relationship between species diversity of fungi and plants/ ha (P = 0.003). In cluster and principal component analyses assemblages of plants and fungi showed different patterns of similarity.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"comparison of diversity of macrofungi and vascular plants at seven sites in the black hills of south dakota"
169,"Amara","not vetted",246,"Garcia-Barreda, Sergi; Molina-Grau, Sara; Reyna, Santiago","Reducing the infectivity and richness of ectomycorrhizal fungi in a calcareous <i>Quercus ilex</i> forest through soil preparations for truffle plantation establishment: A bioassay study","FUNGAL BIOLOGY",119,"1137","1143","10.1016/j.funbio.2015.08.014",2015,"In the early years of a black truffle plantation, the field proliferation of the nursery-inoculated fungi can be hampered by native ectomycorrhizal fungi colonising the seedling roots. Reducing the soil ectomycorrhizal infectivity in the planting hole before introducing the inoculated seedling could be an effective strategy to reduce this problem. Three bioassays were conducted to evaluate the impact of several soil preparations on the ectomycorrhizal infectivity and richness of a Quercus ilex soil in a truffle-producing region. Microwaves, quicklime, and acetic acid significantly decreased the percent root colonisation and morphotype richness of the native ectomycorrhizal fungi. However, they also decreased seedling survival or growth. Peracetic acid, hydrogen peroxide, and sodium hypochlorite did not show a significant negative effect on the soil ectomycorrhizal community. The results support the potential of soil preparation for reducing the ectomycorrhizal infectivity of forest soils, thus being a promising strategy to reduce the early colonisation by native fungi in truffle plantations. However, the indications of damage to the seedling development must be addressed. (C) 2015 The British Mycological Society. Published by Elsevier Ltd. All rights reserved.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"reducing the infectivity and richness of ectomycorrhizal fungi in a calcareous <i>quercus ilex<i> forest through soil preparations for truffle plantation establishment a bioassay study"
170,"Amara","not vetted",409,"Garcia-Barreda, Sergi; Reyna, Santiago","Cultivation of <i>Tuber melanosporum</i> in firebreaks: Short-term persistence of the fungus and effect of seedling age and soil treatment","FUNGAL BIOLOGY",117,"783","790","10.1016/j.funbio.2013.10.001",2013,"Wildfires are a major threat to Mediterranean forests. Firebreaks are built as a prevention measure, but require a periodic and expensive maintenance. Cultivating the ectomycorrhizal mushroom Tuber melanosporum Vitt. in firebreaks could reduce costs and improve their sustainability. But firebreaks are built on forest soil, considered nonoptimum for T. melanosporum cultivation. A pot experiment was used to study the persistence of T. melanosporum in firebreak soils in the short term, as a first step to assess the viability of these plantations. The influence of seedlings, soil heating, and liming was also tested. During the 2 y after plantation, T. melanosporum mycorrhizas increased their number, showing its ability to proliferate. Percent root colonisation by native fungi importantly increased from month 12 to 22; although T. melanosporum remained dominant, with a colonisation level similar to those in standard truffle plantations. The age of seedlings at the time of planting influenced T. melanosporum proliferation, supporting a key role for nursery seedling quality in the performance of young plantations. Heating the soil before planting reduced the richness of native fungi, suggesting that this could increase plantation success. The results tend to support the viability of T. melanosporum cultivation in firebreaks, and encourage experimental field plantations. (C) 2013 The British Mycological Society. Published by Elsevier Ltd. All rights reserved.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"cultivation of <i>tuber melanosporum<i> in firebreaks shortterm persistence of the fungus and effect of seedling age and soil treatment"
171,"Amara","not vetted",424,"Garcia-Carmona, Minerva; Garcia-Orenes, Fuensanta; Mataix-Solera, Jorge; Roldan, Antonio; Pereg, Lily; Caravaca, Fuensanta","Salvage logging alters microbial community structure and functioning after a wildfire in a Mediterranean forest","APPLIED SOIL ECOLOGY",168,NA,NA,"10.1016/j.apsoil.2021.104130",2021,"Salvage logging is one of the most common post-fire management strategies, known for trigger soil degradation processes. Soil compaction, the major disturbance associated with logging operations, could seriously hamper the resilience of soil microorganisms after the perturbation produced by fire. The main objective of this work was to assess the impact of post-fire salvage logging on the composition and structure of soil bacterial and fungi communities, as well as to correlate these findings with the changes in soil physicochemical properties. The management severely affected the soil physicochemical and microbial properties. Whereas an increase of alpha diversity was detected in the treated soils for the microbial community, the microbial functionality registered was lower when compared to control soils. Salvage logging profoundly altered the structure and composition of the microbial communities, being modifications in soil structure the main driver in the microbial community shifts. Soil degradation induced by logging operations resulted in new niches related to anoxic habitats, being Proteobacteria and Firmicutes families, capable of anaerobic respiration, families with high abundance in the affected soils. In addition, the depletion in C and N nutrients as a consequence of the soil erosion reduced the microbial populations sensitive to substrates availability, e.g. Actinomycetales. Ascomycota increased proportionally in managed soils, which might be due to the removal of host plants dependent on ectomycorrhizal fungi. This study demonstrated that physical soil disturbance performed by the post-fire salvage logging profoundly impacted the soil microbial community and associated functions. A deeper understanding of the relationship between disturbances caused by forest management and resilience of soil biodiversity is required.","YES",NA,"YES","YES","Article",NA,"NO","No_control","NO UB control.","Spain","salvage logging alters microbial community structure and functioning after a wildfire in a mediterranean forest"
172,"Amara","not vetted",22,"Garcia-Montero, L. G.; Di Massimo, G.; Garcia-Abril, A.; Grande, M. A.","Suitability of lime trees for <i>Tuber</i> <i>melanosporum</i> culture:: mycorrhizae, soil studies, and truffle harvest associated with <i>Tilia platyphyllos</i> and <i>T-x vulgaris</i>","SYDOWIA",59,"46","56",NA,2007,"Truffles are highly profitable cash crops which grow in forests of many Mediterranean regions. The most important studies on the ecology of Tuber melanosporum have been carried out in forests of Quercus, Corylus, and Ostrya. Although it has been reported that this truffle can form mycorrhizae also with Tilia, there are no studies on Tuber melanosporum fruiting body production associated with lime trees. For this reason, we have carried out a study on mycorrhizae, soils, and fruiting body production in river woods with T. platyphyllos and T. x vulgaris located in Central Spain. In the study area, we found 13 Tuber melanosporum burns associated with Tilia platyphyllos and other host plants. Burns associated also with Tilia showed less significant production than others with Quercus faginea, Q. ilex, and Corylus avellana. Nevertheless, our studies revealed that the soil properties of these river woods with Tilia are very favourable for Tuber melanosporum. However, we confirmed that in this region not a single burn had ever been found with T. melanosporum production associated exclusively with Tilia, without Quercus or Corylus presence. We conclude that at present Tilia platyphyllos and T. x vulgaris are of little interest to Tuber melanosporum truffle culture, as they hinder fruiting body production.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"suitability of lime trees for <i>tuber<i> <i>melanosporum<i> culture mycorrhizae soil studies and truffle harvest associated with <i>tilia platyphyllos<i> and <i>tx vulgaris<i>"
173,"Amara","not vetted",309,"Garcia-Montero, Luis G.; Casermeiro, Miguel A.; Manjon, Jose L.; Hernando, Isabel","Impact of active soil carbonate and burn size on the capacity of the rockrose <i>Cistus laurifolius</i> to produce <i>Tuber melanosporum</i> carpophores in truffle culture","MYCOLOGICAL RESEARCH",111,"734","739","10.1016/j.mycres.2007.03.017",2007,"There are very few studies on Tuber melanosporum associated with Cistus populations. In central Spain, we confirm that C. laurifolius shows carpophore production of Tuber melanosporum. This study demonstrates a correlation between T. rnelanosporum production and the size of the 41 burns, with burn size explaining 26% of the variability in carpophore production. However, statistical analysis of the results indicates that average production of 21 burns with Cistus laurifolius is 73% lower than the production of 20 burns associated with Quercus/Corylus without Cistus laurifolius in this zone, respectively. C. laurifolius develops small burns, which has an impact on their carpophore production, and their soils have 92% less active carbonate than the burns associated with Quercus/Corylus in this zone, respectively. The low levels of active carbonate allow Cistus laurifolius to grow, but impair Tuber melanosporum production. We thus provide a mechanism, based on the inability of Cistus laurifolius to grow in highly carbonated soils, which contradicts the well-known fact that C. laurifolius might act as a transmitter of Tuber melanosporum mycorrhizae. These results indicate that this rockrose can not be considered a useful species for truffle culture. We thus recommend that particular attention should be given to the concentration of active carbonate present in the soil in future studies on the relationship between Cistus species and truffles. (c) 2007 The British Mycological Society. Published by Elsevier Ltd. All rights reserved.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"impact of active soil carbonate and burn size on the capacity of the rockrose <i>cistus laurifolius<i> to produce <i>tuber melanosporum<i> carpophores in truffle culture"
174,"Amara","not vetted",469,"Gartner, Tracy B.; Treseder, Kathleen K.; Malcolm, Glenna M.; Sinsabaugh, Robert L.","Extracellular enzyme activity in the mycorrhizospheres of a boreal fire chronosequence","PEDOBIOLOGIA",55,"121","127","10.1016/j.pedobi.2011.12.003",2012,"Saprotrophic microbes are typically credited with producing extracellular enzymes that recycle organic matter, though roots and mycorrhizal fungi also can contribute and may compete with the saprotrophs. We examined extracellular enzyme activity associated with the mycorrhizospheres of arbuscular mycorrhizal, ectomycorrhizal, dual-colonized (arbuscular and ectomycorrhizal), and ericoid mycorrhizal plants in a fire chronosequence in Alaska. Bulk soil and soil from beneath host plants were gathered in July 2004 and assayed for five enzymes that target organic C, P, and N substrates. Compared to bulk soil, activities of the C-targeting enzymes beta-1,4-glucosidase and peroxidase were lower in arbuscular mycorrhizospheres and ericoid mycorrhizospheres, respectively. Moreover, extracellular enzyme activity varied among mycorrhizosphere types. Specifically, N-targeting leucine aminopeptidase was highest in arbuscular mycorrhizospheres, followed by ericoid and ectomycorrhizal/dual-colonized mycorrhizospheres; beta-1,4-glucosidase had the reverse pattern. In addition, enzymatic stoichiometry suggested that extracellular enzyme producers invested more in C-acquisition than in N-acquisition in recent lire scars compared to mature forests. These data extend previous findings that roots and mycorrhizal fungi compete with saprotrophs by showing that the strength of this effect varies by mycorrhizal host. As a result the community composition of mycorrhizal host plants might mediate enzymatic activity in boreal soils. (c) 2011 Elsevier GmbH. All rights reserved.","YES",NA,"YES","YES","Article",NA,"NO","Off_topic","Does not approach the topic. They only measure enzymes not fungal characterization","USA","extracellular enzyme activity in the mycorrhizospheres of a boreal fire chronosequence"
175,"Amara","not vetted",501,"Gates, G. M.; Ratkowsky, D. A.; Grove, S. J.","Aggregated retention and macrofungi: a case study from the Warra LTER site, Tasmania.","Tasforests",18,"33","54",NA,2009,"The macrofungi of an aggregated retention coupe harvested and burnt in April 2004 at the Warra long-term ecological research (LTER) site were documented at approximately fortnightly intervals over a period of 16 months between February 2005 and June 2006. In transects of approximately 400 m total length, 167 macrofungal species were recorded in the unharvested aggregates compared to 125 species in the regenerating harvested area, with 63 species common to both. The regenerating area was a source of many saprotrophic fungi and also contained many species that are characteristically opportunistic, appearing after disturbance or fire but not generally seen in forests that have progressed beyond the earliest stage of regeneration. The regenerating area also contained a few species normally associated with mature forest, the presence of which may be attributed to the proximity of mature forest retained in the aggregates. Comparison of the aggregates with an unharvested control coupe sampled at the same intensity and over the same time period indicated lower species richness in the aggregates. This suggests that there are factors present, such as effects of the initial site preparation, opening up of the canopy, and proximity of the surrounding harvested areas, which tend to suppress the full development of the mycota in the aggregates. Nevertheless, the majority of ectomycorrhizal species in the aggregated retention coupe were found only in the unharvested aggregates, indicating that the latter are important reservoirs of ectomycorrhizal fungal diversity, and that they may be expected to show an increased species richness at a later stage of regeneration of the surrounding forest.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"aggregated retention and macrofungi a case study from the warra lter site tasmania"
176,"Amara","not vetted",127,"Gates, Genevieve M.; Mohammed, Caroline; Ratkowsky, David A.; Wardlaw, Tim; Davidson, Neil J.","Diversity and ecology of epigeous ectomycorrhizal macrofungal assemblages in a native wet eucalypt forest in Tasmania, Australia","FUNGAL ECOLOGY",4,"290","298","10.1016/j.funeco.2011.02.002",2011,"This paper investigates the diversity and ecology of the epigeous ectomycorrhizal (EcM) fungal assemblages of four plots in native Eucalyptus obliqua forest in Tasmania at different ages of regeneration since the natural disturbance of wildfire. From fortnightly visits to 1 ha of forest over a period of 14 months, 331 EcM species were documented. The family Cortinariaceae (particularly the genus Cortinarius) dominated the EcM communities, with the youngest plot (72 yr since the last wildfire) having the greatest number of EcM species. Each plot was divided up into 25 10 x 10 m subplots, and both unconstrained and constrained ordination procedures showed a significant association between the woody perennial plant community of the subplots and their EcM assemblages, reflecting the covariation of plant and fungal communities. The study provides benchmark knowledge of EcM communities in a specific forest type in Tasmania, serving as a good basis for further studies in those forests and in similar forest types elsewhere. (C) 2011 Elsevier Ltd and The British Mycological Society. All rights reserved.","YES",NA,"YES","YES","Article",NA,"NO","Time_since_fire","Youngest plot 72 years since fire. Also, insufficient methods","Australia","diversity and ecology of epigeous ectomycorrhizal macrofungal assemblages in a native wet eucalypt forest in tasmania australia"
177,"Amara","not vetted",369,"Geng, Yuqing; Dighton, John; Gray, Dennis","The effects of thinning and soil disturbance on enzyme activities under pitch pine soil in New Jersey Pinelands","APPLIED SOIL ECOLOGY",62,"1","7","10.1016/j.apsoil.2012.07.001",2012,"Disturbance is an important factor in changing ecological processes. Forested ecosystems undergo natural disturbances of fire and windthrow and disturbances involved in management (thinning, harvesting, control burning). Using the New Jersey pine barrens as model system for eastern US mixed forests, we have observed that under conditions of repeated physical soil disruption or,control burning, the pine barrens forest understory can change from ericaceous to graminoid species dominance through suppression of the ericaceous plants. In order to predict changes in soil properties and assess the potential to maintain this alternate herbaceous layer community, replicate manipulation plots were established the Franklin Parker Preserve in the New Jersey pine barrens. The manipulations consisted of: intact forest controls (CONT), canopy tree thinning (THIN) and canopy tree thinning plus ercicaceous stem removal and soil tilling (THIN & PLOW). The manipulations were designed to increase sunlight penetration to the forest floor and to encourage graminoid plant species establishment. Soil active carbon, microbial biomass carbon (MBC) and microbial biomass nitrogen (MBN), six hydrolytic enzyme activities and two oxidative enzyme activities under three different treatments were measured. In the 0-10 cm soil depth, we observed that protease and arylsulfatase activity showed a significant decrease in the THIN and THIN & PLOW treatments compared to CONT, the activities of cellulase and phenol oxidase were significantly lower in THIN than CONT and THIN & PLOW, whereas the trend of peroxidase activity was opposite. There were no significant differences between treatments for glucosaminase, glucosidase and acid phosphatase activities. For the 10-20 cm soil depth only acid phosphatase and phenol oxidase activity significantly differed between treatments. We found that all enzyme activities except for peroxidase were significantly lower in the 10-20 cm soil horizon than in the 0-10 cm; peroxidase activity was significantly higher in the lower soil horizon. We demonstrated the activities of cellulase, phenoloxidase, arylsulfatase and protease were significantly and positively related to active C, but peroxidase activity was negatively correlated. Less expected is that only phenol oxidase was related to soil MBC, whereas the correlations between peroxidase, phenol oxidase, arysulfatase, protease activities and soil MBN were obvious. By understanding the relationships between microbial activity (enzyme production) and disturbance, we can determine the beneficial effects of many management practices on the potential nutrient availability for subsequent tree growth, since these enzymes are key to nutrient mineralization and carbon dynamics in soil. (c) 2012 Elsevier B.V. All rights reserved.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"the effects of thinning and soil disturbance on enzyme activities under pitch pine soil in new jersey pinelands"
178,"Amara","not vetted",224,"Glassman, Sydney","Patterns and Processes in Ectomycorrhizal Fungal Ecology",NA,NA,NA,NA,NA,2016,NA,"YES","PhD Thesis","NO","NA","PhD Thesis","DOWNLOADED THE PUBLISHED ARTICLE",NA,NA,NA,NA,"patterns and processes in ectomycorrhizal fungal ecology"
179,"Amara","not vetted",76,"Glassman, Sydney I.; Levine, Carrie R.; DiRocco, Angela M.; Battles, John J.; Bruns, Thomas D.","Ectomycorrhizal fungal spore bank recovery after a severe forest fire: some like it hot","ISME JOURNAL",10,"1228","1239","10.1038/ismej.2015.182",2016,"After severe wildfires, pine recovery depends on ectomycorrhizal (ECM) fungal spores surviving and serving as partners for regenerating forest trees. We took advantage of a large, severe natural forest fire that burned our long-term study plots to test the response of ECM fungi to fire. We sampled the ECM spore bank using pine seedling bioassays and high-throughput sequencing before and after the California Rim Fire. We found that ECM spore bank fungi survived the fire and dominated the colonization of in situ and bioassay seedlings, but there were specific fire adapted fungi such as Rhizopogon olivaceotinctus that increased in abundance after the fire. The frequency of ECM fungal species colonizing pre-fire bioassay seedlings, post-fire bioassay seedlings and in situ seedlings were strongly positively correlated. However, fire reduced the ECM spore bank richness by eliminating some of the rare species, and the density of the spore bank was reduced as evidenced by a larger number of soil samples that yielded uncolonized seedlings. Our results show that although there is a reduction in ECM inoculum, the ECM spore bank community largely remains intact, even after a high-intensity fire. We used advanced techniques for data quality control with Illumina and found consistent results among varying methods. Furthermore, simple greenhouse bioassays can be used to determine which fungi will colonize after fires. Similar to plant seed banks, a specific suite of ruderal, spore bank fungi take advantage of open niche space after fires.","YES",NA,"YES","YES","Article",NA,"YES",NA,NA,"USA","ectomycorrhizal fungal spore bank recovery after a severe forest fire some like it hot"
180,"Amara","not vetted",117,"Glassman, Sydney I.; Peay, Kabir G.; Talbot, Jennifer M.; Smith, Dylan P.; Chung, Judy A.; Taylor, John W.; Vilgalys, Rytas; Bruns, Thomas D.","A continental view of pine-associated ectomycorrhizal fungal spore banks: a quiescent functional guild with a strong biogeographic pattern","NEW PHYTOLOGIST",205,"1619","1631","10.1111/nph.13240",2015,"Ecologists have long acknowledged the importance of seed banks; yet, despite the fact that many plants rely on mycorrhizal fungi for survival and growth, the structure of ectomycorrhizal (ECM) fungal spore banks remains poorly understood. The primary goal of this study was to assess the geographic structure in pine-associated ECM fungal spore banks across the North American continent. Soils were collected from 19 plots in forests across North America. Fresh soils were pyrosequenced for fungal internal transcribed spacer (ITS) amplicons. Adjacent soil cores were dried and bioassayed with pine seedlings, and colonized roots were pyrosequenced to detect resistant propagules of ECM fungi. The results showed that ECM spore banks correlated strongly with biogeographic location, but not with the identity of congeneric plant hosts. Minimal community overlap was found between resident ECM fungi vs those in spore banks, and spore bank assemblages were relatively simple and dominated by Rhizopogon, Wilcoxina, Cenococcum, Thelephora, Tuber, Laccaria and Suillus. Similar to plant seed banks, ECM fungal spore banks are, in general, depauperate, and represent a small and rare subset of the mature forest soil fungal community. Yet, they may be extremely important in fungal colonization after large-scale disturbances such as clear cuts and forest fires.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"a continental view of pineassociated ectomycorrhizal fungal spore banks a quiescent functional guild with a strong biogeographic pattern"
181,"Amara","not vetted",430,"Glick, Henry B.; Umunay, Peter M.; Makana, Jean-Remy; Thomas, Sean C.; Reuning-Scherer, Jonathan D.; Gregoire, Timothy G.","Developmental Dynamics of <i>Gilbertiodendron dewevrei</i> (Fabaceae) Drive Forest Structure and Biomass in the Eastern Congo Basin","FORESTS",12,NA,NA,"10.3390/f12060738",2021,"Patterns of structural change associated with monodominant tropical forest complexes have remained enigmatic for decades. Here, we extend previous efforts in presenting a longitudinal, local-scale analysis of forest dynamics in central Africa. Using four 10-ha census plots measured across three time periods (959,312 stems >= 1 cm DBH), we analyzed changes in a number of biometrical attributes for four distinct forest types capturing the developmental gradient from mixed species forest to Gilbertiodendron dewevrei-dominated forest. We modeled above-ground biomass (AGB), basal area (BA), and stem density across all species, and diameter at breast height (DBH), recruitment, and mortality for Gilbertiodendron dewevrei. We hypothesized that trends in these attributes are consistent with a slow spread of Gilbertiodendron dewevrei into adjacent mixed species forest. We identified statistically significant increases in AGB and BA across sites and positive, though nonsignificant, increases in AGB and BA for most forest types. DBH and relative recruitment increased significantly for Gilbertiodendron dewevrei stems, while relative mortality did not. When looking from mixed species to transitional to monodominant forest types, we found a statistically significant pattern of developmental aggradation and net expansion of monodominant forest. We do not attribute this to atmospheric forcing but to a combination of (a) landscape-scale recovery or response to widespread disturbance (primarily historical fires), (b) Gilbertiodendron dewevrei's ectomycorrhizal association, and (c) Gilbertiodendron dewevrei's exceptional stress tolerance traits.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"developmental dynamics of <i>gilbertiodendron dewevrei<i> fabaceae drive forest structure and biomass in the eastern congo basin"
182,"Amara","not vetted",516,"Godoy, Roberto; Acuna, Luis; Silva-Flores, Patricia; Aguilera, Paula; Marin, Cesar","Native Arbuscular Mycorrhizal Fungi Improved Araucaria araucana Growth over Commercial Inoculum Under Greenhouse and Field Conditions","JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION",23,"6459","6468","10.1007/s42729-023-01501-2",2023,"Araucaria araucana forests in the Coastal Mountain range of Chile are highly endangered due to their population isolation, wildfires, and land-use change. Mycorrhizas constitute a potential restoration tool for this species. Firstly, in a greenhouse we tested A. araucana growth responses to single/mixed commercial and native arbuscular mycorrhizal fungi (AMF) inoculum. Secondly, in plantations under contrasting tree covers we compared the growth responses of greenhouse-grown A. araucana seedlings with and without native AMF inoculum. Four treatments were established under greenhouse conditions (25 A. araucana seedlings per treatment): T0, non-mycorrhizal control; T1, single AMF species commercial inoculum; T2, four AMF species commercial inoculum; and T3, 17 AMF species native inoculum. Seedlings were grown for 1.5 years, after which, seven growth traits and the Ritchie plant quality index were recorded. After this, in Nahuelbuta National Park (native inoculum and seeds' site), a total of 80 seedlings were sown for 13 months: 40 from T0 and 40 from T3, in two contrasting plots regarding their tree mycorrhizal dominance (ectomycorrhizal vs. arbuscular mycorrhizal). Under greenhouse conditions, native AMF inoculum, over one and four species' commercial inoculum, increased A. araucana seedlings' fresh and dry weight of shoots and roots. In situ, the sympatric combination of native seedlings and AMF inoculum growing under original soil conditions, resulted in higher plant growth and quality. Functional complementarity among AMF species probably explains our greenhouse results, as inoculum complexity is a good predictor of plant performance. Local adaptation of AMF and seedlings to soil biotic/abiotic conditions might explain our plantation results.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"native arbuscular mycorrhizal fungi improved araucaria araucana growth over commercial inoculum under greenhouse and field conditions"
183,"Amara","not vetted",558,"Gomes, Amandio L.; Revermann, Rasmus; Meller, Paulina; Goncalves, Francisco M. P.; Aidar, Marcos P. M.; Lages, Fernanda; Finckh, Manfred","Functional traits and symbiotic associations of geoxyles and trees explain the dominance of detarioid legumes in miombo ecosystems","NEW PHYTOLOGIST",230,"510","520","10.1111/nph.17168",2021,"The miombo region in Africa is covered by a mosaic of woodlands and geoxylic grasslands and is subject to disturbances such as fires, frost and drought, and low nutrient availability. The dominance of Fabaceae Detarioideae species in miombo ecosystems is remarkable but little understood. We therefore compared plant functional traits (PFTs) of common woody species of the Angolan plateau, grouped by life form (trees, geoxyles), lineage (Fabaceae: Detarioideae, non-Detarioideae) and symbiont association (ectomycorrhiza, rhizobia).PFTs reflect group-specific adaptations to prevalent environmental conditions. To analyse the impact of environmental drivers, we selected PFTs reflecting ecophysiological aspects of leaf morphology, nutrient content and water transport. Traits were measured following standardized protocols.We found differences in key PFTs between trees and geoxyles reflecting both life form-specific adaptations to environmental conditions and lineage-specific strategies to cope with environmental stresses. We interpret higher leaf thickness and higher wood density of geoxyles as responses to harsher open environments. Fabaceae in general and ectomycorrhizal species showed better nutrient status.Symbiotic associations of detarioid legumes with ectomycorrhiza show specific advantages for phosphorous uptake as compared to Rhizobia-associated Fabaceae and to non-Fabaceae and thus may be crucial for the stunning dominance of Detarioideae in miombo landscapes.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"functional traits and symbiotic associations of geoxyles and trees explain the dominance of detarioid legumes in miombo ecosystems"
184,"Amara","not vetted",482,"Goodman, D. M.; Trofymow, J. A.","Comparison of communities of ectomycorrhizal fungi in old-growth and mature stands of Douglas-fir at two sites on southern Vancouver Island","Canadian Journal of Forest Research",28,"574","581","10.1139/cjfr-28-4-574",1998,"An old-growth and a mature stand, each of fire origin and similar in drainage, slope, and exposure, were selected at each of two sites. Soil cores were collected in spring and fall for 2 years in each stand. Ectomycorrhizae were separated into types based on detailed examination of morphology and anatomy. All root tips were separated and counted. Sixty-nine morphological types were distinguished. Nineteen accounted for >1% of the 17 500 root tips examined, and 14 types were found in >5% of the 120 soil cores. Only three types were found in >20% of the cores. Total richness was approximately 100 fungi. Nine codominant mycosymbionts each colonized 2.8-24% of all tips and together colonized 67% of all tips. Cenococcum geophilum Fr. was the most abundant, followed by a Rhizopogon vinicolor Fr.-like species, an unidentified Piloderma-like species, Lactarius rubrilacteus Hesler and Smith, Piloderma fallax (Libert) Stalpers, and four unidentified species. Old-growth and mature stands had similar richness and diversity of ectomycorrhizal types. There was no evidence that any types were more abundant or frequent in one age-class than in the other.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"comparison of communities of ectomycorrhizal fungi in oldgrowth and mature stands of douglasfir at two sites on southern vancouver island"
185,"Amara","not vetted",318,"Goodman, DM; Trofymow, JA","Comparison of communities of ectomycorrhizal fungi in old-growth and mature stands of Douglas-fir on southern Vancouver Island","NORTHWEST SCIENCE",72,"91","93",NA,1998,NA,"NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"comparison of communities of ectomycorrhizal fungi in oldgrowth and mature stands of douglasfir on southern vancouver island"
186,"Amara","not vetted",359,"Graham, Robert C.; Egerton-Warburton, Louise M.; Hendrix, Paul F.; Shouse, Peter J.; Johnson-Maynard, Jodi L.; Quideau, Sylvie A.; Sternberg, Paul D.; Jobes, Jack A.; Breiner, Joan M.","Wildfire Effects on Soils of a 55-Year-Old Chaparral and Pine Biosequence","SOIL SCIENCE SOCIETY OF AMERICA JOURNAL",80,"376","394","10.2136/sssaj2015.09.0317",2016,"A chaparral and pine biosequence established in 1946 was burned in a wildfire in 2002. Thorough studies of the soil environments during the previous two decades established a baseline for comparison of post-fire changes. Aboveground vegetation was reduced to charred stems, and litter layers were combusted to white ash and charred material. Nevertheless, during the first year after the fire, runoff and erosion were minimal because biotically produced macropores maintained high infiltration rates. Loss of cover and plant transpiration made the soil warmer and moister. Combustion of organic matter mineralized constituent cations, increasing base cation concentrations in soil solutions and solid phases within the first few months after the fire. The pH, C, and N also increased in the soil, and the biological environment was extensively altered. Surface-active macrofauna increased, though seasonal patterns of abundance were unchanged. Post-fire fungal communities were distinctly different from pre-fire communities and were more similar to each other than were pre-fire communities. Overall, many of the wildfire impacts appear to be of short duration. Within 6 mo, original species were resprouting or emerging as seedlings, and most soil chemical, physical, and biological properties were either similar to pre-fire conditions or were rapidly returning toward them.","YES",NA,"YES","YES","Article",NA,"NO","Off_topic","Only study involving lysimeters…","USA","wildfire effects on soils of a 55yearold chaparral and pine biosequence"
