"STUDY_ID","REVIEWERS","INCLUDE","Study_ID","AUTHORS","TITLE","JOURNAL","VOLUME","INITIAL_PAGE","END_PAGE","DOI","PUBLICATION_YEAR","ABSTRACT","Database_year","INCLUSION","WHY1","INCLUSION2","Pdf_available","Type","Notes...17","INCLUSION3","WHY3","Notes...20","Country","...22","...23","...24"
"11","Amara","NO","432","Bigaton, Daisa; Arruda Bacchi, Lilian Maria; Nazari Formagio, Anelise Samara; Gavassoni, Walber Luiz; Zanella, Claudia de Souza","Evaluation of the fungicidal activity of extracts and essential oils on Asian soybean rust","REVISTA CIENCIA AGRONOMICA","44","757","763","10.1590/S1806-66902013000400012","2013","Extracts and essential oils from plants have a great potential to control phytopathogens due to their direct fungitoxic action, inhibiting mycelial growth and spore germination, and their ability to induce the accumulation of phytoalexins in plants. The objective of this work was to evaluate the effect of different methanol extracts and essential oils on Asian soybean rust (Phakopsora pachyrhizi). The experiment was carried out in a green house and incubator. A completely randomized experimental design of seven treatments and ten replications was used. The soybean cultivar was BRS 245RR; the treatments consisted of essential oils and methanol extracts of the genus Schinus terebinthifolius (Brazilian pepper tree) and Trichilia silvatica (quebra-machado, catigua-vermelho), the surfactant, Tween 80 (1% v/v), and water, as a control. The plants were sprayed with their respective treatments, and then artificially inoculated with the fungus about 24 hours later. The characteristics analysed were: number of leaflets per plot; chlorophyll index, plant height, intensity of the Asian soybean rust, number of leaflets with rust, number of leaflets with a burnt appearance. The plants sprayed with 5% (m/v) Schinus extract, and 1% (v/v) Schinus oil showed greater intensity of the disease compared to those sprayed with water. These two treatments and 1% Trichilia oil caused an increased incidence of burned leaflets, indicating phytotoxicity to the crop.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Amara","NO","447","Brundrett, Mark C.; Grierson, Pauline F.; Bennett, Lauren T.; Weston, Christopher J.","Soils and the Below-ground Interactions that Shape Australian Vegetation","AUSTRALIAN VEGETATION, 3RD EDITION",NA,"156","181",NA,"2017","Vegetation and plant diversity patterns are strongly linked to soil properties, such as fertility, texture and depth in all parts of Australia. This results because many parts of Australia have relatively old and highly weathered soil profiles compared to most other regions. However, interactions between soils and vegetation are very complex because soils result from weathering processes that are determined by substrate type, topography, climate and vegetation, as well as the relocation of materials by wind and water. In a global context, Australian soils in many habitats are highly infertile, with low availability of phosphorus, nitrogen and trace elements. These infertile soils are often linked to shrub-dominated ecosystems, where it is assumed that soil fertility is insufficient to support tree growth, but plant productivity is also severely limited by water availability in many habitats. Low soil nutrient supply is counteracted by plant adaptations to growth in infertile soils, as well as efficient nutrient cycling, especially after fire. In Australia the majority of plants have mycorrhizal associations that assist in nutrient uptake and this includes an exceptionally high diversity of plants with ectomycorrhizal associations, as well as plants with nitrogen fixing symbioses. However, nonmycorrhizal plants are also exceptionally diverse in many Australian vegetation types and include many species with specialised means of nutrition, including carnivores, parasites and cluster-rooted species.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Amara","YES","500","Burrill, Haley M.; Ralston, Ellen B.; Dawson, Heather A.; Roy, Bitty A.","Litter Decomposition in Pacific Northwest Prairies Depends on Fire, with Differential Responses of Saprotrophic and Pyrophilous Fungi","MICROORGANISMS","13",NA,NA,"10.3390/microorganisms13081834","2025","Fungi contribute to ecosystem function through nutrient cycling and decomposition but may be affected by major disturbances such as fire. Some ecosystems are fire-adapted, such as prairies which require cyclical burning to mitigate woody plant encroachment and reduce litter. While fire suppresses fire-sensitive fungi, pyrophilous fungi may continue providing ecosystem functions. Using litter bags, we measured the litter decomposition at three prairies with unburned and burned sections, and we used Illumina sequencing to examine litter communities. We hypothesized that (H1) decomposition would be higher at unburned sites than burned, (H2) increased decomposition at unburned sites would be correlated with higher overall saprotroph diversity, with a lower diversity in autoclaved samples, and (H3) pyrophilous fungal diversity would be higher at burned sites and overall higher in autoclaved samples. H1 was not supported; decomposition was unaffected by burn treatments. H2 and H3 were somewhat supported; saprotroph diversity was lowest in autoclaved litter at burned sites, but pyrophilous fungal diversity was the highest. Pyrophilous fungal diversity significantly contributed to litter decomposition rates, while saprotroph diversity did not. Our findings indicate that fire-adapted prairies host a suite of pyrophilous saprotrophic fungi, and that these fungi play a primary role in litter decomposition post-fire when other fire-sensitive fungal saprotrophs are less abundant.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Amara","YES","100","Caiafa, Marcos V.; Grazziotti, Paulo H.; Karlsen-Ayala, Elena; Jusino, Michelle A.; Healy, Rosanne; Reynolds, Nicole K.; Whitten, W. Mark; Smith, Matthew E.","Ectomycorrhizal fungal communities associated with Crocanthemum and Lechea (Cistaceae) in subtropical Florida sandhill habitats","MYCORRHIZA","34","391","401","10.1007/s00572-024-01172-6","2024","Cistaceae are shrubs, subshrubs and herbs that often occur in stressful, fire-prone or disturbed environments and form ectomycorrhizal (ECM) associations with symbiotic fungi. Although some Cistaceae are long-lived shrubs that grow to significant size, others are herbaceous annuals or short-lived plants. Thus, Cistaceae are atypical ECM hosts that are fundamentally different in their biology from trees that are the more typically studied ECM hosts. The Mediterranean region is the center of diversity for Cistaceae and the ectomycorrhizal fungi associated with Cistaceae hosts have primarily been studied in Europe, North Africa, and the Middle East. Mediterranean Cistaceae often host diverse communities of ECM fungi, but they also act as hosts for some ECM fungi that putatively show host-specificity or strong host preference for Cistaceae (including species of Delastria, Hebeloma, Terfezia, and Tirmania). The ECM associations of Cistaceae in North America, however, remain highly understudied. Here we use fungal DNA metabarcoding to document the ectomycorrhizal fungal communities associated with Crocanthemum and Lechea (Cistaceae) in open, fire-prone sandhill habitats in north Florida. At each site we also sampled nearby Pinus to determine whether small, herbaceous Cistaceae have specialized ECM fungi or whether they share their ECM fungal community with nearby pines. The ECM communities of Florida Cistaceae are dominated by Cenococcum (Ascomycota) and Russula (Basidiomycota) species but were also significantly associated with Delastria, an understudied genus of mostly truffle-like Pezizales (Ascomycota). Although many Cistaceae ECM fungi were shared with neighboring pines, the ECM communities with Cistaceae were nonetheless significantly different than those of pines.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Amara","NO","437","Cancelli, Rodrigo Rodrigues; de Souza, Paulo Alves; Pereira das Neves, Paulo Cesar","Fungi, cryptogams and other palynomorphs in the Holocene sediments of the South Coastal Plain of Santa Catarina, Brazil","ACTA BOTANICA BRASILICA","26","20","37","10.1590/S0102-33062012000100004","2012","(Fungi, cryptogams and other palynomorphs in the Holocene sediments of the South Coastal Plain of Santa Catarina, Brazil). This paper presents the results of a palynological analysis carried out on two cores taken from the south Coastal Plain of the Santa Rosa do Sul and Sao Joao do Sul municipalities, in the state of Santa Catarina. A basal sample from the Santa Rosa do Sul core furnished a C-14 age of 7908 +/- 33 yr BP, from the Lower Holocene. Palynological analysis of the material allowed for taxonomic identifications, and resulted in descriptions and illustrations of 54 palynomorphs related to fungi (21), algae (5), acritarchs (1), incertae sedis (1), bryophytes (2), ferns (15), gymnosperm pollen (2) and other palynomorphs (1 bryophyte capsule, 4 invertebrate fragments, and 2 indeterminate palynoforaminifers), which express different ecological patterns. This work aimed to contribute to the knowledge of the plant and fungal fossils remains, and related taxa, recorded from the Coastal Plain of Santa Catarina for the Holocene. Additional palynological analyses will contribute to paleoclimate and paleoenvironmental interpretations of this portion of the Brazilian coast.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Amara","NO","412","Dames, Joanna Felicity","Litter Accumulation in Pinus patula Plantations and the Role of Ectomycorrhizal Fungi in a Forest Ecosystem",NA,NA,NA,NA,NA,"1996",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Amara","YES","370","de Sousa, Rosangela Ribeiro; Leao, Evelynne Urzedo; Veloso, Ronice Alves; Giongo, Marcos; dos Santos, Gil Rodrigues","Impact of burning vegetation on the Cerrado fungi soil","CIENCIA FLORESTAL","29","965","974","10.5902/1980509822614","2019","There are few studies related to the impact of burnings on soil fungi present in the cerrado. The aim of this work was identify the mycoflora in cerrado soil samples before and after burning process at two depths; observing the interference of this process in the fungi soil inhabitants population. The samples were collected in area, in the municipality of Jail do Tocantins, State of Tocantins. Bioassays were installed in a completely randomized experimental design, with four replicates and five treatments, represented by different concentrations of soil solution. The identification of the fungi was made at the genus level according to their morphological structures formed in culture medium through optical microscope observations. In the before burning area we observed greatest diversity of genera and fungi colonies. The opposite was found in the area subsequently submitted to the burning process, showing minor fungal colonies. Among the genera identified, Aspergillus, Penicillium, Cladosporium, Fusarium, Mucor, Pythium and Trichodenna were the most representative colonies. We observed a reduction of 45% approximately in the population of antagonistic fungi. It was found that the use of fire in vegetation negatively influenced microbial populations present in the surface layers of cerrado soil.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Amara","NO","217","Desjardins, NadiaMahiout","Biological Control Trials Against the Beech Mealybug (Cryptococcus fagisuga Lind.), an Insect Precursor of Beech Bark Disease (BCD)",NA,NA,NA,NA,NA,"2010",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Amara","NO","365","Dinis, Daniela Filipa Pereira","Medronheiro e fungos micorrízicos: parceria para o futuroStrawberry Tree and Mycorrhizal Fungi: Partnership for the Future",NA,NA,NA,NA,NA,"2015",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Amara","NO","109","Dinkins, HannahE.","Photosynthesis, Water Use, and Biomass Allocation of Princess Tree (Paulownia Tomentosa) and Tulip Poplar (Liriodendron Tulipifera) First Year Seedlings across Light and Prescribed Fire Conditions",NA,NA,NA,NA,NA,"2021",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Amara","NO","446","Doolittle, Cole J.","The Local Neighborhood Interactions Shaping Tree Communities Through Ecological Disturbance and Environmental Change",NA,NA,NA,NA,NA,"2025",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Amara","NO","486","dos Santos, Mariana Flor Neves Neves","Mercúrio em Cogumelos Selvagens Níveis e Riscos Para Humanos",NA,NA,NA,NA,NA,"2020",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
