"","Genus","obj_id","species","speciesMatched","uuid","ifungorum_number","acid_phosphatase","acidPhosphatase_count","alpha_glucosidase","alphaGlucosidase15_count","alphaGlucosidase31_count","alphaMannanase76_count","aminoAcidPermease_count","ammoniumTransporter_count","amylase88_count","ascoma_development","ascoma_type","ascus_dehiscence","auxinResponsivePromoter_count","beta_glucosidase","beta_glucuronidase","beta_xylosidase","betaGlucanSynthase_count","betaGlucosidase1_count","betaXylosidase43_count","blueChannel_mean","blueChannel_sd","cellobiohydrolase","cellobiohydrolase6_count","cellobiohydrolase7_count","chitinase_count","chitosanase8_count","Cohens_d_Cellulose","Cohens_d_Glucose","Cohens_d_Lignin","Cohens_d_Tannin","Cohens_d_Xylan","coldShockProtein_count","colour_mean","confidence_fg","crystalineCellulaseAA9_count","culture_media","culture_notes","dsDNA","elevation","em_expl","em_text","endoglucanase12_count","endoglucanase9_count","extension_rate","fruiting_body_size","fungalLigninPeroxidase_count","glucosidase81_count","glycopeptidase85_count","glycoproteinSynthesis92_count","greenChannel_mean","greenChannel_sd","growth_form_fg","guild_fg","heatShockProtein_count","higher_clade","invertase32_count","latitude","leucine_aminopeptidase","longitude","map","mat","melanin_content","melanin_count","n_acetyl_glucosaminidase","nitrateTransporter_count","notes_fg","peroxidase","phenol_oxidase","phosphateTransporter_count","redChannel_mean","redChannel_sd","RNAHelicase_count","RNApolymerase_count","source_funguild_fg","spore_length","spore_size","spore_width","sporocarp_chitin","sporocarp_N","sporocarp_protein","sporocarp_resp","sterol_type","studyName","substrate","taxonomic_level_fg","tissue_c","tissue_cn","tissue_cp","tissue_n","tissue_np","tissue_p","total_genes","trait_fg","trehalase_count","trophic_mode_fg"
"11","Afroboletus","Tedersoo_Smith_2013_2","Afroboletus","Afroboletus sp.","f7f92231-be18-477a-acac-5e9e11fa39cb",17017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Highly Probable",NA,NA,NA,NA,NA,"LD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Secotioid","Ectomycorrhizal",NA,"Basidiomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263",NA,NA,NA,NA,NA,NA,NA,NA,"Tedersoo_Smith_2013",NA,13,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Symbiotroph"
"12","Agaricus","Zhang_and_Elser_251","Agaricus_subrufescens","Agaricus subrufescens","96569dd9-6d74-4985-a2a3-5c67f366d9d6",248259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,210,"C",NA,NA,NA,NA,6400,NA,NA,NA,NA,NA,NA,"Agaricoid","Soil Saprotroph",NA,"Basidiomycota",NA,47.5,NA,-121.76,1688,5.5,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,"Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127",8.5,125.017061655728,5.3,NA,NA,NA,NA,"Ergosterol","Zhang_and_Elser","",20,44,7.98,81.45,6.43,6.98,1.4,NA,"NULL",NA,"Saprotroph"
"13","Agonimia","Schoch_etal_2009_5","Agonimia_sp.","Agonimia sp.","92adaba7-9089-4fa6-894e-ef30fab0df30",452073,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascohymenial","Ostiolar","Fissitunicate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894427190999916,NA,NA,NA,"Highly Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thallus","Lichenized",NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,"Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)",NA,NA,NA,NA,NA,NA,NA,NA,"Schoch_etal_2009",NA,13,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Symbiotroph"
"14","Agrocybe","Zhang_and_Elser_299","Agrocybe_dura","Agrocybe dura","15e6eada-1b29-4bef-bd7e-63a138a7cb37",356857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,169.646003293849,6,NA,NA,NA,NA,NA,"Zhang_and_Elser","",NA,44,NA,546.47,NA,NA,0.21,NA,NA,NA,NA
"15","Albatrellus","Zhang_and_Elser_300","Albatrellus_ovinus","Albatrellus ovinus","1cb17ce1-36b9-11d5-9548-00d0592d548c",292351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Highly Probable",NA,NA,NA,NA,35,"MD","Smooth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polyporoid","Ectomycorrhizal",NA,"Basidiomycota",NA,59.867,NA,17.217,577,5.5,NA,NA,NA,NA,"Common name - sheeps polypore",NA,NA,NA,NA,NA,NA,NA,"Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html",NA,NA,NA,NA,NA,NA,NA,NA,"Zhang_and_Elser","",13,44.5,16.22,216.51,3.2,31.63,0.53,NA,"NULL",NA,"Symbiotroph"
"16","Albifimbria","Zhang_and_Elser_58","Myrothecium_verrucaria","Albifimbria verrucaria","1cb194f8-36b9-11d5-9548-00d0592d548c",815927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microfungus","Fungal Parasite-Soil Saprotroph-Undefined Saprotroph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saprotroph isolated from cotton material, plant material, soil, and basidioma of a resupinate polypore on a dead branch (Lombard L, et al. 2016)",NA,NA,NA,NA,NA,NA,NA,"Lombard L, et al. 2016. Persoonia 36:156-246",NA,NA,NA,NA,NA,NA,NA,NA,"Zhang_and_Elser","",20,44,27.02,NA,1.9,NA,NA,NA,"NULL",NA,"Pathotroph-Saprotroph"
"17","Aleuria","Schoch_etal_2009_7","Aleuria_aurantia","Aleuria aurantia","1cb17cf1-36b9-11d5-9548-00d0592d548c",473871,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascohymenial","Exposed hymenium","Operculate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL","Undefined Saprotroph",NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,"James TY, et al. 2006. Nature 443:818-822",NA,NA,NA,NA,NA,NA,NA,NA,"Schoch_etal_2009",NA,20,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Saprotroph"
"18","Aliquandostipite","Schoch_etal_2009_8","Aliquandostipite_khaoyaiensis","Aliquandostipite khaoyaiensis","3310b575-cec3-4063-9fd5-674afbfe8435",483979,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascolocular","Ostiolar","Fissitunicate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schoch_etal_2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Allomyces","Weete_2013_8","Allomyces_macrogynus","Allomyces macrogynus","a28285d3-9e0a-4e68-a5e7-64c32e935291",292389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MinimalMedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cholesterol","Weete_2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Alpova","Tedersoo_Smith_2013_6","Alpova_corsicus","Alpova corsicus","25b47139-fbb5-4268-9081-0f071cf29f77",518392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894427190999916,NA,NA,NA,0.894427190999916,NA,NA,"Highly Probable",NA,NA,NA,NA,NA,"LD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gasteroid","Ectomycorrhizal",NA,"Basidiomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Common name - false truffle",NA,NA,NA,NA,NA,NA,NA,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html",NA,NA,NA,NA,NA,NA,NA,NA,"Treseder_etal_2016",NA,13,NA,NA,NA,NA,NA,NA,NA,"Hypogeous",NA,"Symbiotroph"
"21","Alternaria","Anderson_2008_1","Alternaria_sp","Alternaria spadicea","7ebe8f04-f46f-4373-b1f2-9f3abfcf23e8",488813,NA,7,NA,0,8,8,1,2,4,"Ascolocular","Ostiolar","Fissitunicate",0,NA,NA,NA,0,5,13,NA,NA,NA,2,5,7,0,NA,NA,0.894427190999916,0.894427190999916,NA,0,NA,"Probable",12,NA,NA,5.34,NA,NA,NA,2,0,7.3,NA,5,2,1,0,NA,NA,"Microfungus","Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph",3,"Ascomycota",2,NA,NA,NA,NA,NA,NA,14,NA,1,"NULL",NA,NA,4,NA,NA,0,22,"Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Tedersoo L, et al. 2014. Science 346:125688",NA,NA,NA,NA,NA,NA,NA,NA,"Mouginot_etal_2014",NA,13,NA,11.1,243,NA,22.4,NA,10688,"Soft Rot",2,"Pathotroph-Saprotroph-Symbiotroph"
"22","Alyxoria","Schoch_etal_2009_237","Opegrapha_varia","Alyxoria varia","91086310-2bd6-4a7e-8c4b-c356e24f6934",519247,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascohymenial","Exposed hymenium","Fissitunicate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schoch_etal_2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Amandinea","Treseder_etal_2016_720","OTUkt0888","Amandinea lignicola","941970d0-2c68-43d6-85fd-49ade2b0e4de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894427190999916,-0.894427190999916,0.894427190999916,-0.894427190999916,-0.894427190999916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treseder_etal_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Amanita","Zhang_and_Elser_302","Agaricus_bisporus","Amanita excelsa","1cb17cc0-36b9-11d5-9548-00d0592d548c",531546,99.712484005183,11,7.14434149583519,2,6,1,0,1,6,NA,NA,NA,0,17.3264766116566,0.34862184787477,2.78308144377161,2,2,4,NA,NA,1.32709075751905,1,0,10,0,0,0.894427190999916,0.894427190999916,0,-0.402035848020833,0,NA,"Probable",10,"MMN",NA,NA,35,NA,NA,2,1,NA,5625,1,0,1,5,NA,NA,"Agaricoid","Ectomycorrhizal",6,"Basidiomycota",0,59.867,0,17.217,577,5.5,0,7,16.7574556546174,0,"Muscimol, Ibotenic acid producer; common name - fly agaric",0.175713143861576,0.076239774856424,0,NA,NA,15,24,"http://en.wikipedia.org/wiki/List_of_deadly_fungi",8.5,72.3822947387088,6.8,7,4.9,37,10,NA,"Zhang_and_Elser","",20,44,11.41,79.43,4.5,38.75,0.55,10438,"Poisonous",2,"Symbiotroph"
"25","Ambispora","Schlussler_spores_22","Ambispora_gerdemannii","Ambispora gerdemannii","dc1815de-c46e-4709-a4b7-ba40e3168b5b",510211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.2305794,40.43264651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#DFCBAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203.2275595,23.78520461,NA,NA,NA,"Glomeromycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222.8559051,20.65440292,NA,NA,NA,220,5575279.76257069,220,NA,NA,NA,NA,NA,"Schlussler_spores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Amphilogia","Schoch_etal_2009_6","Ajellomyces_capsulatum","Amphilogia gyrosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascohymenial","Enclosed","Deliquescent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schoch_etal_2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Amphinema","Tedersoo_Smith_2013_8","Amphinema_byssoides","Amphinema byssoides","1cb1aecb-36b9-11d5-9548-00d0592d548c",292495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.894427190999916,-0.894427190999916,0,0,0,NA,NA,"Highly Probable",NA,NA,NA,NA,NA,"MD","Fringe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Resupinate","Ectomycorrhizal",NA,"Basidiomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html",NA,NA,NA,NA,NA,NA,NA,NA,"Treseder_etal_2016",NA,13,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Symbiotroph"
"28","Amphisphaeria","Schoch_etal_2009_11","Amphisphaeria_umbrina","Amphisphaeria umbrina","c850695a-028e-4d75-8a96-1ff54b4a5f7e",222981,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascohymenial","Ostiolar","Poricidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schoch_etal_2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Ampulloclitocybe","Zhang_and_Elser_337","Ampulloclitocybe_clavipes","Ampulloclitocybe clavipes","f7acaa71-f9f3-4a23-816e-42ab63c4ddc3",374059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,3025,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,59.867,NA,17.217,577,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,82.7024266057513,4.5,7,5,62,9,NA,"Zhang_and_Elser","",NA,42.3,10.5,NA,4.7,NA,NA,NA,NA,NA,NA
